Rk,Player,Team,Position(s),ADP,Min,Max,# Picks,ScrapeDate
1,Christian McCaffrey,CAR,RB,1.0,1,1,3,2020-02-22
2,Saquon Barkley,NYG,RB,2.0,2,2,3,2020-02-22
3,Ezekiel Elliott,DAL,RB,3.0,3,3,3,2020-02-22
4,Dalvin Cook,MIN,RB,4.67,4,6,3,2020-02-22
5,Alvin Kamara,NO,RB,4.67,4,5,3,2020-02-22
6,Michael Thomas,NO,WR,6.0,5,7,3,2020-02-22
7,Joe Mixon,CIN,RB,7.0,6,8,3,2020-02-22
8,Nick Chubb,CLE,RB,9.0,7,10,3,2020-02-22
9,Leonard Fournette,JAX,RB,9.67,8,12,3,2020-02-22
10,Aaron Jones,GB,RB,9.67,8,12,3,2020-02-22
11,Derrick Henry,TEN,RB,10.0,9,11,3,2020-02-22
12,DeAndre Hopkins,HOU,WR,12.67,11,14,3,2020-02-22
13,Tyreek Hill,KC,WR,14.33,11,17,3,2020-02-22
14,Josh Jacobs,OAK,RB,15.0,13,17,3,2020-02-22
15,Austin Ekeler,LAC,RB,15.33,13,19,3,2020-02-22
16,Davante Adams,GB,WR,16.67,16,18,3,2020-02-22
17,Julio Jones,ATL,WR,17.33,14,19,3,2020-02-22
18,Travis Kelce,KC,TE,18.33,15,23,3,2020-02-22
19,Miles Sanders,PHI,RB,18.67,16,22,3,2020-02-22
20,Chris Godwin,TB,WR,20.0,18,22,3,2020-02-22
21,Lamar Jackson,BAL,QB,21.0,12,28,3,2020-02-22
22,Mike Evans,TB,WR,22.33,21,25,3,2020-02-22
23,George Kittle,SF,TE,23.33,20,30,3,2020-02-22
24,D.J. Moore,CAR,WR,24.0,22,26,3,2020-02-22
25,A.J. Brown,TEN,WR,24.67,21,28,3,2020-02-22
26,Devin Singletary,BUF,RB,26.67,23,32,3,2020-02-22
27,Odell Beckham,CLE,WR,28.0,26,31,3,2020-02-22
28,Kenyan Drake,ARZ,RB,28.67,26,30,3,2020-02-22
29,Kenny Golladay,DET,WR,29.33,24,37,3,2020-02-22
30,Cooper Kupp,LA,WR,30.33,27,33,3,2020-02-22
31,D'Andre Swift,FA,RB,31.0,24,38,3,2020-02-22
32,Amari Cooper,DAL,WR,31.33,29,33,3,2020-02-22
33,Patrick Mahomes,KC,QB,32.67,28,36,3,2020-02-22
34,Chris Carson,SEA,RB,33.67,33,34,3,2020-02-22
35,Melvin Gordon,LAC,RB,34.67,32,37,3,2020-02-22
36,Jonathan Taylor,FA,RB,35.33,29,41,3,2020-02-22
37,JuJu Smith-Schuster,PIT,WR,37.33,29,42,3,2020-02-22
38,Courtland Sutton,DEN,WR,38.67,35,42,3,2020-02-22
39,Todd Gurley,LA,RB,39.67,35,48,3,2020-02-22
40,Marlon Mack,IND,RB,39.67,39,40,3,2020-02-22
41,Le'Veon Bell,NYJ,RB,40.33,38,43,3,2020-02-22
42,James Conner,PIT,RB,43.67,38,50,3,2020-02-22
43,Keenan Allen,LAC,WR,45.33,42,49,3,2020-02-22
44,Mark Ingram,BAL,RB,45.67,39,52,3,2020-02-22
45,Allen Robinson,CHI,WR,45.67,43,49,3,2020-02-22
46,JK Dobbins,FA,RB,46.67,41,55,3,2020-02-22
47,Damien Williams,KC,RB,48.0,44,54,3,2020-02-22
48,Mark Andrews,BAL,TE,48.67,37,55,3,2020-02-22
49,Stefon Diggs,MIN,WR,49.0,47,52,3,2020-02-22
50,Darren Waller,OAK,TE,49.67,44,57,3,2020-02-22
51,Zach Ertz,PHI,TE,50.0,45,58,3,2020-02-22
52,Kerryon Johnson,DET,RB,53.0,51,55,3,2020-02-22
53,D.K. Metcalf,SEA,WR,55.0,46,62,3,2020-02-22
54,Calvin Ridley,ATL,WR,55.0,50,64,3,2020-02-22
55,Tyler Lockett,SEA,WR,55.0,53,58,3,2020-02-22
56,David Montgomery,CHI,RB,55.0,47,59,3,2020-02-22
57,Adam Thielen,MIN,WR,58.67,52,68,3,2020-02-22
58,Phillip Lindsay,DEN,RB,59.33,57,62,3,2020-02-22
59,D.J. Chark,JAX,WR,59.67,50,68,3,2020-02-22
60,DeVante Parker,MIA,WR,59.67,49,67,3,2020-02-22
61,Raheem Mostert,SF,RB,61.0,51,66,3,2020-02-22
62,Terry McLaurin,WAS,WR,61.33,53,69,3,2020-02-22
63,Robert Woods,LA,WR,62.33,60,64,3,2020-02-22
64,Michael Gallup,DAL,WR,64.0,56,71,3,2020-02-22
65,Deebo Samuel,SF,WR,64.33,58,70,3,2020-02-22
66,Derrius Guice,WAS,RB,66.0,60,70,3,2020-02-22
67,Tyler Boyd,CIN,WR,67.0,63,71,3,2020-02-22
68,Clyde Edwards-Helaire,FA,RB,68.67,61,76,3,2020-02-22
69,Deshaun Watson,HOU,QB,69.33,66,72,3,2020-02-22
70,James White,NE,RB,71.0,60,77,3,2020-02-22
71,Jarvis Landry,CLE,WR,72.0,65,76,3,2020-02-22
72,Kareem Hunt,CLE,RB,72.67,69,75,3,2020-02-22
73,Cam Akers,FA,RB,73.33,56,87,3,2020-02-22
74,Christian Kirk,ARZ,WR,74.67,72,77,3,2020-02-22
75,Julian Edelman,NE,WR,74.67,64,81,3,2020-02-22
76,Austin Hooper,ATL,TE,74.67,71,79,3,2020-02-22
77,Evan Engram,NYG,TE,76.33,73,83,3,2020-02-22
78,Kyler Murray,ARZ,QB,79.0,73,82,3,2020-02-22
79,Marquise Brown,BAL,WR,79.33,74,84,3,2020-02-22
80,David Johnson,ARZ,RB,80.0,72,90,3,2020-02-22
81,John Brown,BUF,WR,80.33,78,82,3,2020-02-22
82,Hunter Henry,LAC,TE,80.67,79,83,3,2020-02-22
83,A.J. Green,CIN,WR,81.0,67,91,3,2020-02-22
84,T.Y. Hilton,IND,WR,83.0,78,90,3,2020-02-22
85,Darius Slayton,NYG,WR,85.67,80,93,3,2020-02-22
86,Ronald Jones,TB,RB,87.33,86,89,3,2020-02-22
87,Dak Prescott,DAL,QB,89.0,85,92,3,2020-02-22
88,Russell Wilson,SEA,QB,89.0,88,91,3,2020-02-22
89,Sony Michel,NE,RB,91.0,86,95,3,2020-02-22
90,Tyler Higbee,LA,TE,91.33,87,94,3,2020-02-22
91,Jerry Jeudy,FA,WR,92.0,83,99,3,2020-02-22
92,Jamison Crowder,NYJ,WR,94.67,86,102,3,2020-02-22
93,Mecole Hardman,KC,WR,95.67,85,103,3,2020-02-22
94,Jared Cook,NO,TE,97.0,92,102,3,2020-02-22
95,Josh Allen,BUF,QB,97.33,94,103,3,2020-02-22
96,Mike Williams,LAC,WR,98.0,89,110,3,2020-02-22
97,Tarik Cohen,CHI,RB,98.33,89,105,3,2020-02-22
98,Devonta Freeman,ATL,RB,100.0,88,112,3,2020-02-22
99,Noah Fant,DEN,TE,102.0,96,106,3,2020-02-22
100,Robby Anderson,NYJ,WR,102.67,98,107,3,2020-02-22
101,Mike Gesicki,MIA,TE,103.0,97,108,3,2020-02-22
102,CeeDee Lamb,FA,WR,103.0,91,122,3,2020-02-22
103,Will Fuller,HOU,WR,103.33,98,111,3,2020-02-22
104,Diontae Johnson,PIT,WR,104.0,99,109,3,2020-02-22
105,Dallas Goedert,PHI,TE,106.33,100,112,3,2020-02-22
106,Latavius Murray,NO,RB,106.33,102,111,3,2020-02-22
107,Aaron Rodgers,GB,QB,107.33,101,114,3,2020-02-22
108,Marvin Jones,DET,WR,109.33,105,117,3,2020-02-22
109,Matt Ryan,ATL,QB,111.33,108,114,3,2020-02-22
110,T.J. Hockenson,DET,TE,111.67,100,120,3,2020-02-22
111,Carson Wentz,PHI,QB,112.67,105,117,3,2020-02-22
112,Curtis Samuel,CAR,WR,113.33,109,116,3,2020-02-22
113,Sterling Shepard,NYG,WR,115.33,97,138,3,2020-02-22
114,Jameis Winston,TB,QB,116.67,113,119,3,2020-02-22
115,Emmanuel Sanders,SF,WR,117.0,93,150,3,2020-02-22
116,Daniel Jones,NYG,QB,117.33,110,123,3,2020-02-22
117,Tevin Coleman,SF,RB,118.0,110,126,3,2020-02-22
118,Justice Hill,BAL,RB,118.67,98,138,3,2020-02-22
119,Brandin Cooks,LA,WR,120.67,115,125,3,2020-02-22
120,New England Patriots,NE,TDSP,122.33,61,170,3,2020-02-22
121,Tony Pollard,DAL,RB,122.33,119,125,3,2020-02-22
122,Baker Mayfield,CLE,QB,122.67,113,128,3,2020-02-22
123,Matthew Stafford,DET,QB,124.67,121,132,3,2020-02-22
124,Alexander Mattison,MIN,RB,125.0,114,143,3,2020-02-22
125,Drew Brees,NO,QB,125.33,124,126,3,2020-02-22
126,Golden Tate,NYG,WR,125.33,120,132,3,2020-02-22
127,Hunter Renfrow,OAK,WR,127.0,122,130,3,2020-02-22
128,Royce Freeman,DEN,RB,127.33,113,141,3,2020-02-22
129,Ian Thomas,CAR,TE,128.33,123,133,3,2020-02-22
130,Jared Goff,LA,QB,129.67,128,131,3,2020-02-22
131,Duke Johnson,HOU,RB,130.67,116,145,3,2020-02-22
132,Ben Roethlisberger,PIT,QB,133.67,125,141,3,2020-02-22
133,Joe Burrow,FA,QB,135.33,129,143,3,2020-02-22
134,Anthony Miller,CHI,WR,136.33,136,137,3,2020-02-22
135,Darrell Henderson,LA,RB,136.67,127,142,3,2020-02-22
136,Cole Beasley,BUF,WR,137.67,109,155,3,2020-02-22
137,Zack Moss,FA,RB,139.67,132,144,3,2020-02-22
138,Kirk Cousins,MIN,QB,140.0,134,149,3,2020-02-22
139,Jonnu Smith,TEN,TE,140.33,130,147,3,2020-02-22
140,Preston Williams,MIA,WR,141.0,138,146,3,2020-02-22
141,Jimmy Garoppolo,SF,QB,141.67,139,146,3,2020-02-22
142,Boston Scott,PHI,RB,143.33,137,148,3,2020-02-22
143,Ryan Tannehill,TEN,QB,143.67,135,151,3,2020-02-22
144,San Francisco 49ers,SF,TDSP,145.67,127,159,3,2020-02-22
145,John Ross,CIN,WR,146.0,121,168,3,2020-02-22
146,Pittsburgh Steelers,PIT,TDSP,146.33,84,180,3,2020-02-22
147,O.J. Howard,TB,TE,147.33,133,161,3,2020-02-22
148,Breshad Perriman,TB,WR,147.67,131,158,3,2020-02-22
149,Sam Darnold,NYJ,QB,149.67,142,157,3,2020-02-22
150,N'Keal Harry,NE,WR,150.0,140,163,3,2020-02-22
151,Tom Brady,NE,QB,150.33,135,158,3,2020-02-22
152,Cam Newton,CAR,QB,151.33,139,160,3,2020-02-22
153,Greg Olsen,SEA,TE,151.33,134,166,3,2020-02-22
154,Henry Ruggs,FA,WR,153.67,142,169,3,2020-02-22
155,David Njoku,CLE,TE,155.33,148,165,3,2020-02-22
156,Larry Fitzgerald,ARZ,WR,156.0,133,180,3,2020-02-22
157,Jalen Reagor,FA,WR,156.33,152,165,3,2020-02-22
158,Blake Jarwin,DAL,TE,157.0,147,164,3,2020-02-22
159,Carlos Hyde,HOU,RB,157.33,144,172,3,2020-02-22
160,Jamaal Williams,GB,RB,157.67,146,168,3,2020-02-22
161,Laviska Shenault,FA,WR,157.67,117,189,3,2020-02-22
162,Drew Lock,DEN,QB,160.67,157,164,3,2020-02-22
163,Rashaad Penny,SEA,RB,163.33,151,174,3,2020-02-22
164,Jack Doyle,IND,TE,164.33,152,188,3,2020-02-22
165,Jordan Howard,PHI,RB,166.67,160,172,3,2020-02-22
166,Tyrell Williams,OAK,WR,166.67,159,172,3,2020-02-22
167,Will Dissly,SEA,TE,167.33,154,186,3,2020-02-22
168,Tee Higgins,FA,WR,167.67,153,175,3,2020-02-22
169,Darwin Thompson,KC,RB,171.0,166,178,3,2020-02-22
170,Chase Edmonds,ARZ,RB,172.33,162,189,3,2020-02-22
171,Dawson Knox,BUF,TE,172.67,156,183,3,2020-02-22
172,Ke'Shawn Vaughn,FA,RB,173.0,124,239,3,2020-02-22
173,DeSean Jackson,PHI,WR,174.33,140,193,3,2020-02-22
174,Dede Westbrook,JAX,WR,176.0,157,204,3,2020-02-22
175,Baltimore Ravens,BAL,TDSP,176.0,170,181,3,2020-02-22
176,Justin Jackson,LAC,RB,176.67,161,199,3,2020-02-22
177,Chris Herndon,NYJ,TE,177.67,163,196,3,2020-02-22
178,Sammy Watkins,KC,WR,179.67,174,186,3,2020-02-22
179,Irv Smith,MIN,TE,180.67,171,194,3,2020-02-22
180,Parris Campbell,IND,WR,181.33,167,190,3,2020-02-22
181,Alshon Jeffery,PHI,WR,182.67,182,184,3,2020-02-22
182,Eric Ebron,IND,TE,184.0,171,195,3,2020-02-22
183,Justin Jefferson,FA,WR,184.67,176,194,3,2020-02-22
184,James Washington,PIT,WR,184.67,178,192,3,2020-02-22
185,Corey Davis,TEN,WR,185.67,176,194,3,2020-02-22
186,Nyheim Hines,IND,RB,186.67,173,211,3,2020-02-22
187,Gus Edwards,BAL,RB,187.33,163,216,3,2020-02-22
188,Buffalo Bills,BUF,TDSP,187.67,178,196,3,2020-02-22
189,AJ Dillon,FA,RB,189.67,173,223,3,2020-02-22
190,Jace Sternberger,GB,TE,191.67,181,203,3,2020-02-22
191,Kenny Stills,HOU,WR,192.0,183,198,3,2020-02-22
192,New Orleans Saints,NO,TDSP,192.33,182,202,3,2020-02-22
193,Kyle Rudolph,MIN,TE,192.67,164,223,3,2020-02-22
194,Chris Conley,JAX,WR,195.33,180,205,3,2020-02-22
195,Matt Breida,SF,RB,196.0,171,213,3,2020-02-22
196,Philip Rivers,LAC,QB,197.33,190,210,3,2020-02-22
197,Chicago Bears,CHI,TDSP,197.67,195,201,3,2020-02-22
198,Adrian Peterson,WAS,RB,198.67,179,220,3,2020-02-22
199,Minnesota Vikings,MIN,TDSP,199.67,192,208,3,2020-02-22
200,Los Angeles (LAR) Rams,LA,TDSP,201.0,197,206,3,2020-02-22
201,Kansas City Chiefs,KC,TDSP,201.33,200,202,3,2020-02-22
202,Mitchell Trubisky,CHI,QB,202.33,187,232,3,2020-02-22
203,Ryan Fitzpatrick,MIA,QB,203.67,200,206,3,2020-02-22
204,Jaylen Samuels,PIT,RB,204.33,198,216,3,2020-02-22
205,Antonio Brown,NE,WR,206.33,188,221,3,2020-02-22
206,Derek Carr,OAK,QB,207.33,191,238,3,2020-02-22
207,Gerald Everett,LA,TE,208.33,204,213,3,2020-02-22
208,Tennessee Titans,TEN,TDSP,209.67,209,211,3,2020-02-22
209,Randall Cobb,DAL,WR,210.67,181,234,3,2020-02-22
210,Steven Sims,WAS,WR,212.0,185,234,3,2020-02-22
211,Vance McDonald,PIT,TE,212.67,198,237,3,2020-02-22
212,Tampa Bay Buccaneers,TB,TDSP,213.33,207,218,3,2020-02-22
213,Denver Broncos,DEN,TDSP,213.67,211,218,3,2020-02-22
214,Dwayne Haskins,WAS,QB,214.33,177,185,2,2020-02-22
215,Andy Isabella,ARZ,WR,215.0,205,224,3,2020-02-22
216,Los Angeles (LAC) Chargers,LAC,TDSP,217.0,214,219,3,2020-02-22
217,Tua Tagovailoa,FA,QB,217.67,162,210,2,2020-02-22
218,Philadelphia Eagles,PHI,TDSP,217.67,213,225,3,2020-02-22
219,Indianapolis Colts,IND,TDSP,220.33,214,230,3,2020-02-22
220,Green Bay Packers,GB,TDSP,222.0,219,228,3,2020-02-22
221,Zach Pascal,IND,WR,222.33,212,229,3,2020-02-22
222,New York (NYJ) Jets,NYJ,TDSP,226.33,222,230,3,2020-02-22
223,Cleveland Browns,CLE,TDSP,226.33,221,233,3,2020-02-22
224,Dallas Cowboys,DAL,TDSP,227.0,221,235,3,2020-02-22
225,Seattle Seahawks,SEA,TDSP,227.67,223,231,3,2020-02-22
226,Jacksonville Jaguars,JAX,TDSP,233.33,227,237,3,2020-02-22
227,Eno Benjamin,FA,RB,234.67,203,220,2,2020-02-22
228,Darren Fells,HOU,TE,235.33,201,224,2,2020-02-22
229,Washington Redskins,WAS,TDSP,235.67,232,240,3,2020-02-22
230,Kendrick Bourne,SF,WR,239.67,207,231,2,2020-02-22
231,Jalen Hurd,SF,WR,243.0,212,236,2,2020-02-22
232,Denzel Mims,FA,WR,246.0,224,233,2,2020-02-22
233,Carolina Panthers,CAR,TDSP,246.33,222,236,2,2020-02-22
234,Joshua Kelley,FA,RB,249.0,185,185,1,2020-02-22
235,Teddy Bridgewater,NO,QB,252.67,196,196,1,2020-02-22
236,Houston Texans,HOU,TDSP,252.67,237,240,2,2020-02-22
237,Jordan Akins,HOU,TE,256.0,206,206,1,2020-02-22
238,Greg Ward,PHI,WR,256.33,207,207,1,2020-02-22
239,Darrynton Evans,FA,RB,256.67,208,208,1,2020-02-22
240,Gardner Minshew,JAX,QB,257.0,209,209,1,2020-02-22
241,Justin Herbert,FA,QB,258.67,214,214,1,2020-02-22
242,Foster Moreau,OAK,TE,259.0,215,215,1,2020-02-22
243,Lamar Miller,HOU,RB,260.67,220,220,1,2020-02-22
244,Ryquell Armstead,JAX,RB,261.33,222,222,1,2020-02-22
245,Russell Gage,ATL,WR,262.67,226,226,1,2020-02-22
246,Jordan Reed,WAS,TE,262.67,226,226,1,2020-02-22
247,Atlanta Falcons,ATL,TDSP,263.0,227,227,1,2020-02-22
248,Danny Amendola,DET,WR,263.33,228,228,1,2020-02-22
249,Hayden Hurst,BAL,TE,263.33,228,228,1,2020-02-22
250,Miles Boykin,BAL,WR,263.67,229,229,1,2020-02-22
251,DaeSean Hamilton,DEN,WR,264.0,230,230,1,2020-02-22
252,Demarcus Robinson,KC,WR,264.33,231,231,1,2020-02-22
253,KJ Hamler,FA,WR,264.67,232,232,1,2020-02-22
254,Anthony McFarland,FA,RB,265.0,233,233,1,2020-02-22
255,Tyler Eifert,CIN,TE,265.33,234,234,1,2020-02-22
256,Benny Snell,PIT,RB,265.67,235,235,1,2020-02-22
257,Thaddeus Moss,FA,TE,266.67,238,238,1,2020-02-22
258,Allen Lazard,GB,WR,266.67,238,238,1,2020-02-22
259,Lamical Perine,FA,RB,267.0,239,239,1,2020-02-22
260,Jacob Hollister,SEA,TE,267.0,239,239,1,2020-02-22
261,Mohamed Sanu,NE,WR,267.33,240,240,1,2020-02-22
