"Player","Rookie"
"D'Andre Swift",1
"Jonathan Taylor",1
"JK Dobbins",1
"Cam Akers",1
"Clyde Edwards-Helaire",1
"Jerry Jeudy",1
"CeeDee Lamb",1
"Joe Burrow",1
"Zack Moss",1
"Laviska Shenault",1
"Jalen Reagor",1
"Tee Higgins",1
"Henry Ruggs",1
"Ke'Shawn Vaughn",1
"Eno Benjamin",1
"Justin Jefferson",1
"AJ Dillon",1
"Bryan Edwards",1
"Tua Tagovailoa",1
"Joshua Kelley",1
"Lamical Perine",1
"Tyler Johnson",1
"Brandon Aiyuk",1
"KJ Hamler",1
"Antonio Gandy-Golden",1
"Denzel Mims",1
"Justin Herbert",1
"Albert Okwuegbunam",1
"Van Jefferson",1
"Thaddeus Moss",1
"Michael Pittman",1
"Cole Kmet",1
"Lynn Bowden",1
"Hunter Bryant",1
"Anthony McFarland",1
"KJ Hill",1
"Harrison Bryant",1
"Gabriel Davis",1
"Michael Warren II",1
"Devin Duvernay",1
"Jake Fromm",1
"Chase Claypool",1
"Patrick Taylor Jr.",1
"Darrynton Evans",1
"JJ Taylor",1
"Donovan Peoples-Jones",1
"Jordan Love",1
"Brycen Hopkins",1
